example_id                                                                              | status  | run_time             |
./spec/models/match_score_spec.rb[1:2:2]                                                | unknown |                      |
./spec/models/match_spec.rb[1:1:1]                                                      | unknown |                      |
./spec/models/match_spec.rb[1:1:2]                                                      | unknown |                      |
./spec/models/match_spec.rb[1:1:3]                                                      | unknown |                      |
./spec/models/match_spec.rb[1:1:4]                                                      | unknown |                      |
./spec/models/match_spec.rb[1:2:1]                                                      | unknown |                      |
./spec/models/match_spec.rb[1:2:2]                                                      | unknown |                      |
./spec/models/match_spec.rb[1:2:3]                                                      | unknown |                      |
./spec/models/match_spec.rb[1:3:1]                                                      | unknown |                      |
./spec/models/match_spec.rb[1:3:2]                                                      | unknown |                      |
./spec/models/match_spec.rb[1:4:1]                                                      | unknown |                      |
./spec/models/match_spec.rb[1:4:2]                                                      | unknown |                      |
./spec/models/match_spec.rb[1:5:1:1]                                                    | unknown |                      |
./spec/models/match_spec.rb[1:5:2:1]                                                    | unknown |                      |
./spec/models/match_spec.rb[1:6:1:1]                                                    | unknown |                      |
./spec/models/match_spec.rb[1:6:1:2]                                                    | unknown |                      |
./spec/models/match_spec.rb[1:6:1:3]                                                    | unknown |                      |
./spec/models/match_spec.rb[1:6:2:1]                                                    | unknown |                      |
./spec/models/match_spec.rb[1:6:2:2]                                                    | unknown |                      |
./spec/models/match_spec.rb[1:6:2:3]                                                    | unknown |                      |
./spec/models/match_spec.rb[1:6:3:1]                                                    | unknown |                      |
./spec/models/match_spec.rb[1:6:3:2]                                                    | unknown |                      |
./spec/models/match_spec.rb[1:6:3:3]                                                    | unknown |                      |
./spec/models/stage_spec.rb[1:1:1]                                                      | unknown |                      |
./spec/models/stage_spec.rb[1:1:2]                                                      | unknown |                      |
./spec/models/stage_spec.rb[1:1:3]                                                      | unknown |                      |
./spec/models/stage_spec.rb[1:2:1:1]                                                    | unknown |                      |
./spec/models/stage_spec.rb[1:2:2:1]                                                    | unknown |                      |
./spec/models/stage_spec.rb[1:2:3:1]                                                    | unknown |                      |
./spec/models/stage_spec.rb[1:3:1:1:1]                                                  | unknown |                      |
./spec/models/stage_spec.rb[1:3:1:2:1]                                                  | unknown |                      |
./spec/models/stage_spec.rb[1:3:2:1:1]                                                  | unknown |                      |
./spec/models/stage_spec.rb[1:3:2:2:1]                                                  | unknown |                      |
./spec/models/stage_spec.rb[1:3:3:1]                                                    | unknown |                      |
./spec/models/team_spec.rb[1:1:1]                                                       | unknown |                      |
./spec/models/team_spec.rb[1:2:1]                                                       | unknown |                      |
./spec/models/team_spec.rb[1:2:2]                                                       | unknown |                      |
./spec/models/team_spec.rb[1:2:3]                                                       | unknown |                      |
./spec/models/team_spec.rb[1:2:4]                                                       | unknown |                      |
./spec/models/tournament_spec.rb[1:1:1]                                                 | unknown |                      |
./spec/models/tournament_spec.rb[1:1:2]                                                 | unknown |                      |
./spec/models/tournament_spec.rb[1:1:3]                                                 | unknown |                      |
./spec/models/tournament_spec.rb[1:1:4]                                                 | unknown |                      |
./spec/models/tournament_spec.rb[1:1:5]                                                 | unknown |                      |
./spec/models/tournament_spec.rb[1:2:1]                                                 | unknown |                      |
./spec/models/tournament_spec.rb[1:2:2]                                                 | unknown |                      |
./spec/models/tournament_spec.rb[1:3:1]                                                 | unknown |                      |
./spec/models/tournament_spec.rb[1:3:2]                                                 | unknown |                      |
./spec/models/tournament_spec.rb[1:3:3]                                                 | unknown |                      |
./spec/models/tournament_spec.rb[1:4:1:1]                                               | unknown |                      |
./spec/models/tournament_spec.rb[1:4:2:1]                                               | unknown |                      |
./spec/models/user_spec.rb[1:1:1]                                                       | unknown |                      |
./spec/models/user_spec.rb[1:1:2]                                                       | unknown |                      |
./spec/models/user_spec.rb[1:2:1]                                                       | unknown |                      |
./spec/models/user_spec.rb[1:2:2]                                                       | unknown |                      |
./spec/routing/match_scores_routing_spec.rb[1:1:1]                                      | unknown |                      |
./spec/routing/match_scores_routing_spec.rb[1:1:2]                                      | unknown |                      |
./spec/routing/match_scores_routing_spec.rb[1:1:3]                                      | unknown |                      |
./spec/routing/matches_routing_spec.rb[1:1:1]                                           | unknown |                      |
./spec/routing/statistics_routing_spec.rb[1:1:1]                                        | unknown |                      |
./spec/routing/teams_routing_spec.rb[1:1:1]                                             | unknown |                      |
./spec/routing/teams_routing_spec.rb[1:1:2]                                             | unknown |                      |
./spec/routing/teams_routing_spec.rb[1:1:3]                                             | unknown |                      |
./spec/routing/tournaments_routing_spec.rb[1:1:1]                                       | unknown |                      |
./spec/routing/tournaments_routing_spec.rb[1:1:2]                                       | unknown |                      |
./spec/routing/tournaments_routing_spec.rb[1:1:3]                                       | unknown |                      |
./spec/routing/tournaments_routing_spec.rb[1:1:4]                                       | unknown |                      |
./spec/routing/tournaments_routing_spec.rb[1:1:5]                                       | unknown |                      |
./spec/routing/tournaments_routing_spec.rb[1:1:6]                                       | unknown |                      |
./spec/services/group_stage_service_spec.rb[1:1:1]                                      | unknown |                      |
./spec/services/group_stage_service_spec.rb[1:1:2]                                      | unknown |                      |
./spec/services/group_stage_service_spec.rb[1:1:3]                                      | unknown |                      |
./spec/services/group_stage_service_spec.rb[1:1:4]                                      | unknown |                      |
./spec/services/group_stage_service_spec.rb[1:1:5]                                      | unknown |                      |
./spec/services/group_stage_service_spec.rb[1:1:6]                                      | unknown |                      |
./spec/services/group_stage_service_spec.rb[1:1:7]                                      | unknown |                      |
./spec/services/group_stage_service_spec.rb[1:1:8]                                      | unknown |                      |
./spec/services/group_stage_service_spec.rb[1:2:1]                                      | unknown |                      |
./spec/services/group_stage_service_spec.rb[1:3:1]                                      | unknown |                      |
./spec/services/group_stage_service_spec.rb[1:3:2]                                      | unknown |                      |
./spec/services/group_stage_service_spec.rb[1:3:3]                                      | unknown |                      |
./spec/services/group_stage_service_spec.rb[1:3:4]                                      | unknown |                      |
./spec/services/group_stage_service_spec.rb[1:4:1:1]                                    | passed  | 2.53 seconds         |
./spec/services/group_stage_service_spec.rb[1:4:1:2]                                    | passed  | 2.27 seconds         |
./spec/services/group_stage_service_spec.rb[1:4:1:3]                                    | passed  | 2.3 seconds          |
./spec/services/group_stage_service_spec.rb[1:4:1:4:1]                                  | passed  | 2.3 seconds          |
./spec/services/group_stage_service_spec.rb[1:4:2:1]                                    | passed  | 2.31 seconds         |
./spec/services/group_stage_service_spec.rb[1:4:2:2:1]                                  | passed  | 2.36 seconds         |
./spec/services/group_stage_service_spec.rb[1:5:1]                                      | unknown |                      |
./spec/services/group_stage_service_spec.rb[1:5:2]                                      | unknown |                      |
./spec/services/match_service_spec.rb[1:1:1]                                            | unknown |                      |
./spec/services/match_service_spec.rb[1:1:2]                                            | unknown |                      |
./spec/services/match_service_spec.rb[1:1:3]                                            | unknown |                      |
./spec/services/match_service_spec.rb[1:1:4]                                            | unknown |                      |
./spec/services/match_service_spec.rb[1:1:5]                                            | unknown |                      |
./spec/services/match_service_spec.rb[1:1:6]                                            | unknown |                      |
./spec/services/match_service_spec.rb[1:1:7]                                            | unknown |                      |
